Lake,Habitat,Site,Observation,Dry weight,SLA,LDMC
Hathaikheda_Dam,Abandoned,1,2,5.424,2993.362832,0.888888889
Hathaikheda_Dam,Abandoned,1,3,5.11,2951.46771,0.885001732
Hathaikheda_Dam,Abandoned,1,4,5.421,1879.726988,0.906218656
Hathaikheda_Dam,Abandoned,1,5,5.428,2799.189388,0.89188301
Hathaikheda_Dam,Abandoned,1,6,5.373,7213.660897,0.810162847
Hathaikheda_Dam,Abandoned,1,7,5.286,2303.632236,0.913900415
Hathaikheda_Dam,Abandoned,1,8,5.456,4617.302053,0.869205034
Hathaikheda_Dam,Abandoned,1,9,5.336,2827.023988,0.90671198
Hathaikheda_Dam,Abandoned,1,10,5.461,2444.607215,0.911686144
Hathaikheda_Dam,Abandoned,2,1,5.36,3293.843284,0.89917799
Hathaikheda_Dam,Abandoned,2,2,4.696,4479.131175,0.765070055
Hathaikheda_Dam,Abandoned,2,3,5.347,3442.117075,0.886733002
Hathaikheda_Dam,Abandoned,2,4,5.432,2423.048601,0.90473018
Hathaikheda_Dam,Abandoned,2,5,5.27,1679.127135,0.916521739
Hathaikheda_Dam,Abandoned,2,6,5.333,2429.214326,0.901911043
Hathaikheda_Dam,Abandoned,2,7,5.421,1889.688249,0.913395114
Hathaikheda_Dam,Abandoned,2,8,5.394,2214.312199,0.909612142
Hathaikheda_Dam,Abandoned,2,9,5.324,1079.827198,0.941967445
Hathaikheda_Dam,Abandoned,2,10,5.408,1688.239645,0.933057281
Hathaikheda_Dam,Abandoned,3,1,5.502,4506.179571,0.90359665
Hathaikheda_Dam,Abandoned,3,2,5.389,3585.451846,0.915251359
Hathaikheda_Dam,Abandoned,3,3,5.394,2025.954765,0.940540541
Hathaikheda_Dam,Abandoned,3,4,5.343,1832.303949,0.941331924
Hathaikheda_Dam,Abandoned,3,5,5.385,3737.975859,0.913176191
Hathaikheda_Dam,Abandoned,3,6,5.349,2290.334642,0.933182135
Hathaikheda_Dam,Abandoned,3,7,5.394,2052.09492,0.936133287
Hathaikheda_Dam,Abandoned,3,8,5.367,2206.446805,0.940753725
Hathaikheda_Dam,Abandoned,3,9,5.22,2030.651341,0.911949686
Hathaikheda_Dam,Abandoned,3,10,5.425,2990.046083,0.93373494
Hathaikheda_Dam,Natural,1,1,5.469,6598.829768,0.775854731
Hathaikheda_Dam,Natural,1,2,5.249,5413.221566,0.832910187
Hathaikheda_Dam,Natural,1,3,5.314,2333.458788,0.892959167
Hathaikheda_Dam,Natural,1,4,5.368,3856.184799,0.881879415
Hathaikheda_Dam,Natural,1,5,5.399,5629.37581,0.832151665
Hathaikheda_Dam,Natural,1,6,5.264,1899.886018,0.909467865
Hathaikheda_Dam,Natural,1,7,5.383,4267.323054,0.856483691
Hathaikheda_Dam,Natural,1,8,5.455,5252.978918,0.846786712
Hathaikheda_Dam,Natural,1,9,5.382,2775.548123,0.88680178
Hathaikheda_Dam,Natural,1,10,5.43,6431.307551,0.844216418
Hathaikheda_Dam,Natural,2,1,5.263,2001.140034,0.940997676
Hathaikheda_Dam,Natural,2,2,5.327,2167.636568,0.907959775
Hathaikheda_Dam,Natural,2,3,5.311,2221.992092,0.926391069
Hathaikheda_Dam,Natural,2,4,5.276,2142.342684,0.881242693
Hathaikheda_Dam,Natural,2,5,5.252,2149.086062,0.915301499
Hathaikheda_Dam,Natural,2,6,5.269,1081.609414,0.911276375
Hathaikheda_Dam,Natural,2,7,5.309,2336.598229,0.905354707
Hathaikheda_Dam,Natural,2,8,5.268,1509.681093,0.913631634
Hathaikheda_Dam,Natural,2,9,5.393,9.08585203,0.917020915
Hathaikheda_Dam,Natural,2,10,5.237,1175.673095,0.891100902
Hathaikheda_Dam,Natural,3,1,5.327,3376.009011,0.922104899
Hathaikheda_Dam,Natural,3,2,5.301,1712.884361,0.899847225
Hathaikheda_Dam,Natural,3,3,5.362,2765.38605,0.908197832
Hathaikheda_Dam,Natural,3,4,5.348,3693.717277,0.887340302
Hathaikheda_Dam,Natural,3,5,5.412,2644.124169,0.898406375
Hathaikheda_Dam,Natural,3,6,5.33,3415.572233,0.894595502
Hathaikheda_Dam,Natural,3,7,5.301,1154.499151,0.927072403
Hathaikheda_Dam,Natural,3,8,5.34,2188.764045,0.918156809
Hathaikheda_Dam,Natural,3,9,5.34,1889.513109,0.914227016
Hathaikheda_Dam,Natural,3,10,5.309,2993.407421,0.915818527
